date,asset,level,entry_time,entry_price,direction,hurst_value,hurst_regime,vetoed,veto_reason,expiry_seconds,exit_time,exit_price,price_delta,outcome,net_pl,payout_pct,oteo_score,confidence,market_ready,adx_regime,trend_direction
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,30,1781940657.868,1.16397,0.00016,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,60,1781940687.89,1.16397,0.00016,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,90,1781940717.909,1.16405,0.00024,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,120,1781940747.946,1.16403,0.00022,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,180,1781940808.018,1.16414,0.00033,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940627.847,1.16381,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00338,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_HURST,1781940627.847,1.16381,PUT,0.5,random_walk,True,regime_chop,60,1781940687.89,1.16397,0.00016,vetoed,0.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,15,1781940645.861,1.16403,0.00021,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,30,1781940660.872,1.16414,0.00032,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,60,1781940690.893,1.16399,0.00017,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,90,1781940720.912,1.16415,0.00033,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,120,1781940750.949,1.16406,0.00024,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,180,1781940811.025,1.1642,0.00038,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00337,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_HURST,1781940630.849,1.16382,PUT,0.5,random_walk,True,regime_chop,60,1781940690.893,1.16399,0.00017,vetoed,0.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,15,1781940645.861,1.16403,0.00021,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,30,1781940660.872,1.16414,0.00032,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,60,1781940690.893,1.16399,0.00017,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,90,1781940720.912,1.16415,0.00033,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,120,1781940750.949,1.16406,0.00024,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,180,1781940811.025,1.1642,0.00038,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940630.849,1.16382,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00337,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_HURST,1781940630.849,1.16382,PUT,0.5,random_walk,True,regime_chop,60,1781940690.893,1.16399,0.00017,vetoed,0.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,15,1781940667.377,1.16408,4e-05,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,30,1781940682.386,1.164,-4e-05,win,0.92,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,60,1781940712.404,1.16407,3e-05,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,90,1781940742.443,1.16421,0.00017,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,120,1781940772.462,1.16409,5e-05,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,180,1781940901.285,1.1647,0.00066,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00315,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_HURST,1781940652.363,1.16404,PUT,0.5,random_walk,True,regime_chop,60,1781940712.404,1.16407,3e-05,vetoed,0.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,15,1781940667.377,1.16408,4e-05,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,30,1781940682.386,1.164,-4e-05,win,0.92,92.0,91.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940652.363,1.16404,PUT,0.5,random_walk,False,,60,1781940712.404,1.16407,3e-05,loss,-1.0,92.0,91.9,MEDIUM,False,unavailable,flat
